Read Time:           1.29269
Build Time:          0.08118
Graph has 11950758 nodes and 12711603 directed edges for degree: 1
Source:               863375
    i                0.00262
   td          1     0.00591
   td          1     0.00005
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00008
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          0     0.00004
Trial Time:          0.01653
Source:              4729645
    i                0.00191
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          0     0.00005
Trial Time:          0.00407
Source:              2904892
    i                0.00191
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00006
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00006
   td          1     0.00005
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00004
   td          1     0.00005
   td          1     0.00005
   td          1     0.00005
